Viikko;Klo 0-8;Klo 8-16;Klo 16-24;Viikkosumma
Vko 0;3.7;3.7;4.0;11.4
Vko 1;31.2;44.9;34.8;110.8
Vko 2;33.2;54.0;37.2;124.4
Vko 3;33.8;56.2;38.7;128.7
Vko 4;34.0;56.8;38.6;129.3
Vko 5;34.0;57.5;39.2;130.7
Vko 6;35.0;59.4;40.0;134.3
Vko 7;35.8;58.5;40.3;134.6
Vko 8;35.1;56.5;39.5;131.1
Vko 9;34.8;52.5;39.1;126.4
Vko 10;34.8;55.9;39.1;129.8
Vko 11;35.4;57.2;39.9;132.6
Vko 12;35.3;56.2;39.7;131.2
Vko 13;36.0;58.9;39.4;134.3
Vko 14;35.4;48.8;37.4;121.6
Vko 15;34.7;44.1;36.6;115.4
Vko 16;34.1;47.1;36.6;117.8
Vko 17;35.0;49.2;37.5;121.7
Vko 18;35.3;43.7;36.2;115.2
Vko 19;35.5;46.2;37.1;118.8
Vko 20;33.7;42.0;34.5;110.2
Vko 21;32.6;44.5;34.3;111.4
Vko 22;31.7;45.9;32.3;109.9
Vko 23;31.9;43.2;32.0;107.1
Vko 24;32.1;45.9;35.5;113.4
Vko 25;32.1;44.4;35.1;111.6
Vko 26;32.9;47.3;35.6;115.9
Vko 27;30.4;36.8;31.3;98.4
Vko 28;28.9;32.4;30.7;91.9
Vko 29;28.2;32.7;28.8;89.6
Vko 30;27.5;32.5;28.3;88.3
Vko 31;28.9;40.0;31.6;100.5
Vko 32;31.5;46.0;34.5;112.0
Vko 33;31.7;47.3;34.8;113.8
Vko 34;31.5;45.4;33.9;110.8
Vko 35;32.3;49.4;34.5;116.2
Vko 36;32.0;47.6;33.8;113.3
Vko 37;32.1;51.4;35.1;118.6
Vko 38;33.4;53.6;35.7;122.8
Vko 39;32.8;50.9;35.9;119.6
Vko 40;33.4;52.6;36.3;122.3
Vko 41;33.3;52.6;36.4;122.3
Vko 42;34.9;53.6;38.0;126.5
Vko 43;32.6;47.7;35.2;115.6
Vko 44;32.1;54.4;36.1;122.7
Vko 45;31.3;53.2;35.4;120.0
Vko 46;32.5;54.6;37.6;124.7
Vko 47;33.0;55.7;38.5;127.1
Vko 48;33.1;56.0;37.5;126.6
Vko 49;32.3;50.9;36.5;119.7
Vko 50;33.1;55.4;37.9;126.4
Vko 51;32.6;51.2;36.0;119.8
Vko 52;30.0;35.3;31.7;97.0
Vko 53;0.0;0.0;0.0;0.0
Yhteensä;1714.4;2559.6;1872.2;6146.2
